unit_id,manufacturer,tag,官网仪器详情页,仪器名称,仪器参数,仪器照片url,仪器详情,抓取状态
gh_espec_,Espec,高低温金属浴,https://www.espec.co.jp/english/products/env-test/,Environmental Test Chambers | Products | Products & Services,"ESPEC Solutions Group Applications, Skills, and Knowledge (ASK) Test lab and consulting services for new or existing HALT programs. More about testing services; Product Service & Support Chamber Care plans offer extended protection and include annual PM. Upgrade your existing chambers with our Web Controller. See support services; Test & Reliability Training ESPEC’s separate training group offers seminars, webinars, and consulting on basic and advanced reliability testing. Go to our training website",https://espec.com/img/especna70.png,ESPEC North America 拥有最广泛的环境室和 HALT/HASS 测试用品选择。 Qualmark 现在是 ESPEC North America 的一个产品线。,ok
gh_agilent_b298x,Agilent,电化学工作站,https://www.keysight.com/us/en/product/B2985A/picoammeters-electrometers.html,"B2985A Electrometer / High Resistance Meter, 0.01 fA [Discontinued]","Date: Title; Reset: By Type of Content; application-notes: Application Notes 
                                            (10); Application Notes: Isolating Noise Sources with the System Integrity Checker (.pdf 575.18 KB); flyers: Flyers 
                                            (2); Flyers: Real-time Noise Monitor (.pdf 339.21 KB); programming-guides: Programming Guides 
                                            (2)",https://www.keysight.com/content/dam/keysight/en/img/gnav/Facebook.png,是德科技为创新者提供以软件为中心的设计、仿真和测试解决方案，以快速实现未来的突破并降低风险。,ok
gh_agilent_e5270b,Agilent,电化学工作站,https://www.keysight.com/us/en/product/E5270B/precision-iv-analyzer-8-slot-precision-measurement-mainframe.html,Current-Voltage Analyzers: E5270B,"To view this video please enable JavaScript, and consider upgrading to a web browser that supports HTML5 video",https://www.keysight.com/content/dam/keysight/en/img/gnav/Facebook.png,是德科技为创新者提供以软件为中心的设计、仿真和测试解决方案，以快速实现未来的突破并降低风险。,ok
gh_keithley_2400,Keithley,电化学工作站,https://www.tek.com/en/products/keithley/source-measure-units/2400-standard-series-smu,Keithley 2400 Standard Series SMU,Model: Touchscreen; 2401.: No; 2400: No; 2410.: No; Datasheet / Manual: Accessory; View Datasheet: 1754; View Datasheet: 4288-1; View Datasheet: 4288-2; View Datasheet: 4299-3; View Datasheet: 5804; View Datasheet: 5805; View Datasheet: 5806; View Datasheet: 5808; View Datasheet: 7078-TRX-10; View Datasheet: 7078-TRX-12; View Datasheet: 7078-TRX-20; View Datasheet: 7078-TRX-3; View Datasheet: 7078-TRX-5; View Datasheet: 7078-TRX-GND; View Datasheet: 8101-PIV; View Datasheet: 8501-1,https://www.tek.com/-/media/images/product-series/2400-standard-smu/sourcemeasureunitseries2400sourcemeasureunitdatasheetenus1spng.jpg?h=309&iar=0&w=327,使用 Keithley 4200A-SCS 半导体参数分析仪加速研究和故障分析。集成 I-V、C-V 和脉冲 I-V，设置速度加快 50%。,ok
gh_keithley_2450,Keithley,电化学工作站,https://www.tek.com/en/products/keithley/source-measure-units/2450-touchscreen-smu,Keithley 2450,Digital Multimeters Data Acquisition and Switching Low-level Instrument/Sensitive and Specialty Instruments; Low-level Instrument/Sensitive and Specialty Instruments; EA Elektro-Automatik Products; Multi-Brand Compliant Calibration; Multi-Brand Service Request ⇨; Environmental Testing HALT & HASS Testing NEMA Compliance Testing Package Testing Shock-Vibration Testing; Shock-Vibration Testing; EA Elektro-Automatik Service; EA Elektro-Automatik Support FAQs Support Center Technical Support; EA Elektro-Automatik Support; EA Elektro-Automatik; 1-800-833-9200; Call us at 1-800-833-9200,https://www.tek.com/-/media/images/404_image.png?h=252&w=334,使用 Keithley 4200A-SCS 半导体参数分析仪加速研究和故障分析。集成 I-V、C-V 和脉冲 I-V，设置速度加快 50%。,ok
gh_keithley_2600,Keithley,电化学工作站,https://www.tek.com/en/products/keithley/source-measure-units/2600b-series-smu,2600B Series SMU,Model: Channels; 2601B: 1; 2611B: 1; 2604B: 2; 2614B: 2; 2602B: 2; 2612B: 2; 2635B: 1; 2634B: 2; 2636B: 2; Datasheet / Manual: Accessory; View Datasheet: 237-ALG-2; View Manual: 237-TRX-BAR; View Datasheet: 2600-ALG-2; View Datasheet: 2600-BAN; View Datasheet: 2600B-PM-1; View Datasheet: 2600B-PM-2; View Datasheet: 2600-KIT; View Datasheet: 2600-TRIAX; View Datasheet: 4299-1; View Datasheet: 4299-2; View Datasheet: 7078-TRX-10; View Datasheet: 7078-TRX-12; View Datasheet: 7078-TRX-20,https://www.tek.com/-/media/images/product-series/2600-smu/2602bfront35in.jpg?h=335&iar=0&w=569,使用 Keithley 4200A-SCS 半导体参数分析仪加速研究和故障分析。集成 I-V、C-V 和脉冲 I-V，设置速度加快 50%。,ok
gh_keysight_b2962a,Keysight,电化学工作站,https://www.keysight.com/us/en/product/B2962A/6-5-digit-low-noise-power-source-2-channels.html,B2962A 6.5-Digit Low Noise Power Source [Discontinued],"Date: Title; Reset: By Type of Content; application-notes: Application Notes 
                                            (8); Application Notes: Precision ADC Evaluation Using a Low Noise DC Source (.pdf 694.00 KB); configuration-guides: Configuration Guides 
                                            (3); Configuration Guides: Detailed Demonstration Guide: Sourcing Clean Voltage Using B2961A/62A (.pdf 4.58 MB); demos: Demos 
                                            (3)",https://www.keysight.com/content/dam/keysight/en/img/gnav/Facebook.png,是德科技为创新者提供以软件为中心的设计、仿真和测试解决方案，以快速实现未来的突破并降低风险。,ok
gh_lake_shore_m81,Lake Shore,电化学工作站,https://www.lakeshore.com/products/categories/overview/material-characterization-products/measureready-instruments/measureready-m81-synchronous-source-measure-system,M81-SSM Synchronous Source Measure System,"Type: Synchronous Source Measure System; Channels: up to 3; Current range: 100 nA-100 mA; Voltage range: ±100 V; Measurement rate: up to 1000 readings/s; Interface: USB, Ethernet; Compatible: cryogenic systems",https://www.lakeshore.com/images/default-source/default-album/twp-usa_2025d9ba5c7091294c08b561a02e6330b5a2.png?sfvrsn=e89310da_0,Lake Shore 是低温和磁性解决方案领域的领导者。我们致力于帮助客户推动科技进步，造福人类。,ok
gh_julabo_cf31,Julabo,冷热水机,https://www.julabo.com/us/products/recirculating-coolers,Recirculating Coolers,Cryo-Compact Circulators; Ultra-Low Refrigerated-Heating Circulators; On-site service; After-sales service,https://dbyt75tph3sip.cloudfront.net/image/512030579289/image_lj2k9kt1pt7dhcbvm0k8vp6d5u/-S600-FJPG/dyneo-lab-1-units.jpg,JULABO 循环冷却器 ✓ 满足实验室和工业中的任何冷却要求 ✓ 环保冷却 ✓ 紧凑型设计,ok
gh_thermofisher_thermoflex,ThermoFisher,冷热水机,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/water-purification-systems.html,Lab Water Purification Systems,Reagent water measurement (unit): Type 1; Resistivity (MΩ cm) at 25°C: >18; Total organic carbon (ppb): <50; Sodium (ppb): <1; Chloride (ppb): <1; Total silica (ppb): <3,https://www.thermofisher.com/content/dam/tfsite/images/storefront/Water/Water%20Purification%20Systems%20(Quality)-Instrument.png,定制您的系统，确保您获得满足实验室要求的纯水和超纯水。,ok
gh_mettler_toledo_xs204mt_sics,Mettler Toledo,电子天平,https://www.mt.com/global/en/home/products/Laboratory_Weighing_Solutions/Analytical_Balances.html,Analytical Balances,最大秤量 220 g 可读性 0.01 mg 天平系列 XPR 天平型号 分析天平; 最大秤量 220 g 可读性 0.1 mg 天平系列 XPR 天平型号 分析天平; 最大秤量 220 g 可读性 0.1 mg 天平系列 MX 天平型号 分析天平; 最大秤量 120 g/41 g 可读性 0.005 mg0.002 mg 天平系列 XPR 天平型号 自动天平; 最大秤量 220 g/121 g 可读性 0.01 mg0.005 mg 天平系列 XPR 天平型号 自动天平,https://www.mt.com/dam/direct-upload/card/image/products/Laboratory_Weighing_Solutions/analytical-balances1/unrivalled-accuracy.png.crop.10_982659.0_000000.78_034682.100_000000.1.png/_jcr_content/renditions/cq5dam.web.1280.1280.png,"电子分析天平作为一款可以达到十万分之一称量仪器,在确保使用简单的前提下,电子分析天平拥有更精确的称量结果，更好的法规符合性。更多天平详情,欢迎登陆梅特勒托利多METTLER TOLEDO官网. GitHub驱动: https://github.com/janelia-python/mettler_toledo_device_python",ok
gh_brooks_xpeel,Brooks,撕膜仪,https://www.brookslifesciences.com/products/xpeel,Brooks XPeel,Cold Storage ambient to -20°CUltra Cold Storage to -80°CCryogenic Storage to -190°C; Cold Storage ambient to -20°C; Ultra Cold Storage to -80°C; Cryogenic Storage to -190°C; 50% Off Selected FluidX 1ml Tri-Coded TubesZiath Reader Trade-Up ProgramYour Oldest Sample in a FluidX Tube; 50% Off Selected FluidX 1ml Tri-Coded Tubes; Ziath Reader Trade-Up Program; Reader Trade-Up Ziath Reader Trade-Up Program Trade in Your Old Reader for the New Mirage Connect or Cube Connect. Connect with the next generation today! Trade-Up Now; Sample & Biological Material StorageCustomer-Site Sample ManagementClini,https://www.azenta.com/wp-content/uploads/2024/10/nav-feature_bioarc-calculator.jpg,我们的网站已经搬迁，并且焕然一新。请按照导航菜单进入新页面,ok
gh_thermo_fisher_cytomat_2c,Thermo Fisher,X射线衍射仪,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-automation/lab-automation-incubators.html,Lab Automation Incubators,Type: Automated incubator; Temperature: ambient+5°C to 50°C; CO2: 0-20%; Humidity: controlled; Capacity: 21-42 microplates; Interface: RS-232; Compatible: robotic systems,https://www.thermofisher.cn/content/experience-fragments/dm/thermofisher/multi_stage_offers/zh/2026/wb-13280215/of-13280717-wb/hr/_jcr_content/root3/offermgmt.img.jpeg/1768852704850/of-13280717-hr3--8190x1600.jpeg,赛默飞致力于帮助客户使世界变得更健康、更清洁、更安全。我们助力加速生命科学领域的研究、解决在分析领域所遇到的复杂问题与挑战、提高实验室生产力。 GitHub驱动: https://github.com/smartlab-network/open-cytomat,ok
gh_liconic_stx88,LiCONiC,微生物培养箱,https://www.liconic.com/stx.html,The Storex STX Line (gh_liconic_stx88),Type: Automated -20°C storage; Capacity: 88 microplates; Temperature: -20°C; Interface: SiLA/REST API; Barcode reader: integrated; Compatible: lab automation,,主要特点 STX44 培养箱可与放置在桌面上的仪器集成（台式 - BT）或与立在地板上的仪器集成（独立 - SA）。独立配置与台式配置的组合允许这些单元堆叠。 STX44子系列的IT型号适用于结晶应用。特殊版本可将整个电子设备放置在远离设备主体的单独盒子中，以适应空间受限的情况。侧门配置中的 STX44 专为在用户门面向前方时无缝集成在其他设备侧面而设计。,ok
gh_hamilton_star,Hamilton,移液工作站,https://www.hamiltoncompany.com/automated-liquid-handling/platforms/microlab-star,Microlab STARlet,"Height: 90.3 cm (2 ft, 11.55 in); Width: 1.66 m (5 ft, 5.51 in); Depth: 78.1 cm to 1.01 m (2 ft, 6.75 in to 3 ft, 3.8 in); Weight: 145 kg; CO-RE Gripper: Optional; Internal Plate Gripper (IPG): Optional; IVDR Compliant: No; Capacity (ANSI/SLAS Positions): 55; Device Integration: 180° (Left and Right); Sample Loading: Automatic, Continuous; Manual Load: Standard; Autoload Barcode Scanner (1D): Optional; Autoload Barcode Scanner (2D): Optional; 1 mL Channels: Up To 16; 5 mL Channels: Up To 8","https://www.hamiltoncompany.com/cdn-cgi/image/format=auto,metadata=none,width=480,height=320,quality=80,fit=cover,gravity=0.5x0.5/https://assets-sensors.hamiltoncompany.com/Images-Products/glucosense-sensor-instaled.jpg?v=1763717630",Hamilton Microlab STAR 是一款可靠且多功能的自动化液体处理平台。这款一流的液体处理系统具有多探头、移液技术和 VENUS 软件等先进功能，可满足您的实验室需求。立即使用 STAR 彻底改变您的工作流程！,ok
gh_opentrons_ot_2,Opentrons,机械臂,https://opentrons.com/products/robots/ot-2/,Opentrons OT-2 Lab Robot,"Type: Liquid handling robot; Weight: 48 kg; Size: 63×57×66 cm; Deck: 11 slots; Pipettes: 1-Channel (1-1000 µL), 8-Channel (1-300 µL); Connectivity: WiFi, USB, Ethernet; Price: $15,950; Modules: Heater-Shaker, Thermocycler, Temperature, Magnetic",https://opentrons.com/wp-content/smush-webp/2023/05/image-13.png.webp,"Opentrons OT-2是开源自动化液体处理机器人，11个甲板槽位，支持单通道和8通道移液器，起售价$15,950。 GitHub驱动: https://github.com/Opentrons/opentrons",ok
gh_mobile_industrial_robots_mir100,Mobile Industrial Robots,机械臂,https://www.mobile-industrial-robots.com/solutions/robots/mir100/,Autonomous Mobile Robots,"The key features of AMRsSafeCollaborates safely with employees and complies with relevant safety standardsFlexibleOpen platform and easy to customize with different top modulesScalableFast and central configuration of your robot fleet with MiR FleetEfficientNavigates in highly dynamic environments with multiple pickup and delivery pointsEasy to integrateNo disruption to existing processes or layouts, quick and cost effective to deploy; The key features of AMRs; SafeCollaborates safely with employees and complies with relevant safety standardsFlexibleOpen platform and easy to customize with dif",https://a.storyblok.com/f/230581/1920x1080/b0de1ed293/cummins1.png/m/fit-in/596x335/filters:format(webp),MiR 的移动机器人旨在优化物流和制造运营的生产力。,ok
gh_instron_3400_series,Instron,万能试验机标准机,https://www.instron.com/en/products/testing-systems/universal-testing-systems/electromechanical/3400-series,Instron 3400 Series,"Calibration On-site and factory calibration services for your materials testing systems; On-site and factory calibration services for your materials testing systems; Aerospace Testing for composites, structural metals, high-temperature turbine metals, and fasteners; Testing for composites, structural metals, high-temperature turbine metals, and fasteners; Electronics Adaptable systems to test cutting-edge consumer electronics technology; Adaptable systems to test cutting-edge consumer electronics technology; Plastics Simplify test setup and ensure your tests remain simple, repeatable, and erro",https://www.instron.com/wp-content/uploads/2024/06/wellthislooksbroken430px.png,3400 系列万能试验机专为处理各种力测试应用而设计，容量为 500 N 至 300 kN。了解更多 3400 系列万能试验机旨在处理各种力测试应用，容量为 500 N 至 300 kN。了解更多 3400 系列万能试验机设计用于执行拉伸、压缩、弯曲、剥离、穿刺、摩擦、剪切等测试。该系统...阅读更多,ok
gh_thermo_fisher_autoscript_fib_sem,Thermo Fisher,扫描电子显微镜,https://www.thermofisher.com/us/en/home/electron-microscopy/products/scanning-electron-microscopes.html,Scanning Electron Microscopes | SEM,Axia ChemiSEM: 多功能实时能谱扫描电镜; PRISMA E SEM: 环境扫描电镜; Quattro SEM: 环境场发射扫描电镜; Apreo 2 SEM: 多功能高分辨场发射扫描电镜; Verios SEM: 超高分辨场发射扫描电镜; VolumeScope 2 SEM: 三维成像场发射扫描电镜,https://www.thermofisher.cn/content/dam/LifeTech/global/electron-microscopy/products/helios-5-exl/Helios_5_EXL_226x150.png,赛默飞积极响应大规模设备更新，我们的SEM扫描电镜设备包括易于使用的台式扫描电镜、和具有卓越分辨率和对比度的扫描电子显微镜。有多种检测器和附件保证灵活性满足您广泛需求。无论样品尺寸、重量或导电性如何我们的SEM扫描电镜都能提供优质的图像和分析结果。现在就联系我们的咨询热线400 820 8982让我们的专业团队为您提供更多信息和支持。 GitHub驱动: https://github.com/DeMarcoLab/fibsem,ok
gh_neware_bts4000,Neware,电池测试柜,https://neware.com.cn/product/battery-testing-system/bts4000/,Neware BTS4000,"Voltage: 0-5V/channel; Current: mA-100A+; Channels: 8/unit; Accuracy: ±0.05% FSR; Data Rate: 10ms/point; Modes: CC, CV, CP, CR; Functions: cycling, pulse, DCIR, dQ/dV; Communication: Ethernet; Software: BTS Client",https://neware-web.oss-cn-shenzhen.aliyuncs.com/config/76SHPfje.png,Neware BTS4000是电池测试系统，支持CC/CV/CP/CR模式，具备充放电循环、脉冲测试、DCIR测量功能，精度±0.05% FSR。 GitHub驱动: https://github.com/ahmedashrafdevv/BTS4000,ok
gh_neware_bts,Neware,电池测试柜,https://neware.com.cn/product/battery-testing-system/,Neware BTS系列,"Voltage: 0-5V/channel (up to 60V+); Current: mA to 300A; Channels: 8-16/unit; Accuracy: ±0.05% FSR; Modes: CC, CV, CP, CR; Functions: cycle, pulse, DCIR, dQ/dV; Software: BTS; Communication: Ethernet",https://neware-web.oss-cn-shenzhen.aliyuncs.com/config/76SHPfje.png,返回newware.com.cn,ok
gh_arbin_mits_pro,Arbin,电池测试柜,https://www.arbin.com/products/battery-test-equipment/,Battery Test Equipment,"<img decoding=""async"" style=""width: 74px; margin: 6px 40px"" src=""/wp-content/uploads/2024/12/ARBIN-Cell-Finishing-i2.png"" />",https://www.arbin.com/wp-content/uploads/2025/04/Arbin-navbar-products-v2.png,Arbin 产品可提供快速、准确的自放电电流测量，同时保持电池电化学平衡。我们的技术允许施加的小电流恒定且不受温度变化的影响，从而确保整个过程的精度。,ok
gh_memmert_un30,Memmert,真空干燥箱,https://www.memmert.com/en/products/heating-drying-ovens/universal-oven/un30-2,Universal oven UN30 - natural air circulation - 32 l.,"Languages: English Phone +49 9122 925 187 E-Mail kbauer@memmert.com; Languages: English Français Arabian Phone +49 9122 925 224 E-Mail mchaieb@memmert.com; Languages: English, Hindi, Marathi Phone +91 9714696067 Mobile + 91 9156271074 E-Mail sjoshi@memmert.com; Languages: English 用中文沟通 Русский Phone +49 9122 925 223 Mobile +49 160 5527806 E-Mail irumynskiy@memmert.com",https://www.memmert.com/fileadmin/products/memmert_product_selector.png,信赖最好的：研究、医药和工业领域的烤箱、培养箱和气候室的创新领导者和全球制造商。,ok
gh_binder_mk_53,BINDER,高低温金属浴,https://www.binder-world.com/en/products/environmental-simulation-chambers/dynamic-climate-chambers/mk-series,BINDER MK 53 Dynamic Climate Chamber (gh_binder_mk_53),NEW: Dynamic climate cha,https://www.binder-world.com/fileadmin/user_upload/Main-website/International/EN/Images/Startpage/MOBILE_version_16x9.jpg,用于研究和工业的精确环境模拟。可靠的质量、可持续的产品和专家支持——您成功的最佳条件。,ok
gh_eurotherm_3500,Eurotherm,冷热水机,https://www.eurotherm.com/en/temperature-controllers/,Eurotherm 3500/3504,DIN-A-MITE® A Power Controller; FLUENT® In-Line Heater; EZ-ZONE® RM Rail Mount Controller; Life Sciences – CPG; Food and Beverage – CPG; ServicesSee All ServicesAccreditation servicesService level agreements (SLA)Warehouse MappingIndustrial-Cybersecurity; Industrial-Cybersecurity,https://www.eurotherm.com/wp-content/themes/eurotherm-custom/images/facebook.jpg,| Eurotherm GitHub驱动: https://github.com/pyhys/minimalmodbus,ok
gh_eurotherm_2408,Eurotherm,冷热水机,https://www.eurotherm.com/en/temperature-controllers/2408/,Eurotherm 2408,DIN-A-MITE® A Power Controller; FLUENT® In-Line Heater; EZ-ZONE® RM Rail Mount Controller; Life Sciences – CPG; Food and Beverage – CPG; ServicesSee All ServicesAccreditation servicesService level agreements (SLA)Warehouse MappingIndustrial-Cybersecurity; Industrial-Cybersecurity,https://www.eurotherm.com/wp-content/themes/eurotherm-custom/images/facebook.jpg,2408/2404 控制器/编程器数据表 (HA026553 Iss 4) |欧陆下载,ok
gh_watlow_ez_zone_pm,Watlow,冷热水机,https://www.watlow.com/en/products/controllers/temperature-and-process-controllers/ez-zone-pm-controller,DISCONTINUED: EZ-ZONE® PM Panel Mount Controller,"Type: PID controller; Inputs: universal (TC, RTD, process); Output: relay/SSR/analog; Display: color touchscreen; Communication: Ethernet, RS-485, USB; Features: adaptive tuning, data logging, remote access",https://www.watlow.com/Assets/Project/Corporate/Images/Watlow%20Logo_color%20rev.png,搜索 Watlow 的资源，查找有关产品的规格表，例如：电源控制器、带状加热器和电加热器。,ok
gh_nikon_ti2,Nikon,荧光显微镜,https://www.microscope.healthcare.nikon.com/products/inverted-microscopes/eclipse-ti2-series,ECLIPSE Ti2 Series (gh_nikon_ti2),"Type: Motorized inverted microscope; Optics: CFI60 infinity; FOV: 25mm; Focus: motorized ~0.5nm step; Nosepiece: motorized DIC; Fluorescence: LED/laser/mercury; Software: NIS-Elements; Ports: up to 4; Compatible: N-SIM, N-STORM, A1/AXR confocal",https://www.nikon.com/img/pic_hero_business_large_01.jpg?20250508,Nikon Ti2-E是全电动倒置研究显微镜，采用CFI60光学系统，同类最大25mm视场，Z轴0.5nm分辨率，兼容超分辨率和共聚焦系统。 GitHub驱动: https://github.com/MinTTT/pymmc,ok
gh_robotnik_agvs,Robotnik,AGV,https://robotnik.eu/products/mobile-robots/,Automated & Autonomous Mobile Robots,导航方式: SLAM/磁条/激光; 操作系统: ROS; 负载: 可定制; 运行时间: 24/7全天候; 特点: 自主导航、易于配置,https://robotnik.eu/wp-content/uploads/2021/06/menu-mobile-robot-300x222-VOGUI-110621.png,Robotnik自主移动机器人(AMR/AGV)，基于ROS开源机器人操作系统，支持SLAM自主导航、多机器人协调和Fleet管理。模块化设计可搭载机械臂、传感器等载荷，适用于实验室物流自动化、仓储搬运和工业巡检。,ok
gh_laurell_ws_650,Laurell,匀胶机,https://www.laurell.com/spin-coaters/ws-650/,Contact Laurell Technologies,Type: Spin coater; Speed: 0-12000 RPM; Acceleration: 0-30000 RPM/s; Substrate: up to 6 inch; Vacuum chuck: standard; Programming: multi-step; Features: solvent resistant,,有关旋涂机的信息，请联系 Laurel Technologies。,ok
gh_chemspeed_flex,Chemspeed,并行反应仪,https://www.chemspeed.com/flex-isynth/,Chemspeed FLEX/iSynth,"Type: Automated synthesis workstation; Reactors: 8-96 parallel; Temperature: -40°C to 250°C; Volume: 0.1-100 mL; Features: automated dosing, sampling, weighing; Software: AutoSuite",,Chemspeed FLEX自动化合成工作站，模块化平台设计，集成称量、液体处理、固体分配、加热/冷却和惰性气氛控制。用于高通量材料筛选、催化剂开发和配方优化。,ok
gh_zeiss_merlin,ZEISS,扫描电子显微镜,https://www.zeiss.com/metrology/us/systems/industrial-microscopy/electron-microscopes/zeiss-geminisem.html,ZEISS GeminiSEM​,"<img class=""lazy-image__image"" src=""https: //www.zeiss.com/content/dam/newsroom/pressphotos/locations-forum-museum/locations/zeiss_logo_display.jpg/_jcr_content/renditions/original.image_file.1920.1080.0,100,1920,1180.file/zeiss_logo_display.j",,蔡司是一家国际领先的光学和光电子行业科技企业。,ok
gh_hitachi_su7000,Hitachi,扫描电子显微镜,https://www.hitachi-hightech.com/global/products/science/tech/em/sem/su7000.html,Hitachi SU7000,Asia: China; India: English; Indonesia: English; Japan: 日本語; Korea: 한국어; Malaysia: English; Singapore: English; Taiwan: 繁体字; Thailand: English; Americas: Brazil; Canada: English; United States: English; Mexico: Español,https://www.hitachi-hightech.com/image/en/r1/corp_id.gif,请选择您所在的国家或地区以查看您所在位置的产品和服务、活动。,ok
gh_opentrons_thermocycler_module_,Opentrons,移液工作站,https://opentrons.com/products/modules/thermocycler-module/,Thermocycler Module,"Dimensions (open): 244.95 mm L x 172 mm W x 310.1 mm H; Dimensions (closed): 244.95 mm L x 172 mm W x 170.35 mm H; Dimensions (closed with External Fan Duct): 315.32 L x 172 mm W x 170.35 H; Accommodates: Full-skirted 96-well, 0.2 mL PCR plates; Thermal block temperature range: 4–99 °C; Thermal block maximum heating ramp rate: 4.25 °C/s between ambient and 95 °C; Thermal block maximum cooling ramp rate: 2.0 °C/s between 95 °C and ambient; Lid temperature range: 37–110 °C; Weight: 8.4 kg",https://cdn11.bigcommerce.com/s-zmwgbev7rb/products/241/images/849/Thermocycler-1__21867.1729268547.386.513.png?c=1,Opentrons Thermocycler 模块是一款全自动的甲板式热循环仪，以 96 孔板形式提供免提 PCR。,ok
gh_openids_openids_v1,OpenIDS,电化学反应器,https://hackaday.io/project/167795-open-inkjet-dna-synthesizer-openids-v1,INDUCTION LAUNCHER,Type: Open-source DNA/oligo synthesizer; Chemistry: phosphoramidite; Synthesis scale: 200 nmol-1 µmol; Coupling efficiency: >99%; Features: open-source hardware and software,,我已连接并准备好所有部件，只需添加新的 SCR/开关等。,ok
gh_maccor_macnet,Maccor,电池测试柜,https://www.maccor.com/series6k.html,Next Generation Battery Tester,"Type: Battery cycler; Voltage: 0-5V/channel; Current: up to 150A; Channels: 16-96; Modes: CC, CV, CP, CCCV; Software: MacNotify; Communication: Ethernet; Accuracy: ±0.02% FSR",https://www.maccor.com/products/images/Logo.png,Arbin 的下一代实验室电池测试 (LBT) 系列提供业界领先的 24 位分辨率和高精度测量。阅读更多2 页 Arbin 的下一代实验室电池测试 (LBT) 系列提供业界领先的 24 位分辨率和高精度测量。阅读更多 2022 年 7 月 21 日 — CELLTRON™ Advantage Digital 是一款快速、用户友好的优质手持式测试仪，用于测量电池电导、电压、温度和...阅读更多,ok
gh_zke_ebc_a05,ZKE,电池测试柜,https://zketech.com/ebc-a05,无法访问此网站,"Type: Electronic DC load; Voltage: up to 30V; Current: up to 5A; Power: 35W; Modes: CC, CV, CR, CP; Interface: USB; Features: battery discharge testing, data logging",,"Nov 25, 2021 — 一、网站报错类型总结. 1、无法访问此网站：①该网站关闭了。②该网站将我们的ip地址拉黑了。 2、该网页无法正常运作：①该网站没有设置默认页面，必须访问 ...Read more Nov 25, 2021 — 一、网站报错类型总结. 1、无法访问此网站：①该网站关闭了。②该网站将我们的ip地址拉黑了。 2、该网页无法正常运作：①该网站没有设置默认页面，必须访问 ...Read more Jan 22, 2019 — localhost:8888 无法访问此网站 #6600 ; Module: BuildIndicates build related issues ; Module: Simulation & DreamviewIndicates simulation module ...Read more",ok
gh_neware_bts_8_0,Neware,电池测试柜,https://neware.com.cn/product/battery-testing-system/,Neware BTS 8.0系列,"Voltage: 0-5V/channel (up to 60V+); Current: mA to 300A; Channels: 8-16/unit; Accuracy: ±0.05% FSR; Modes: CC, CV, CP, CR; Functions: cycle, pulse, DCIR; Software: BTS 8.0; Communication: Ethernet",https://neware-web.oss-cn-shenzhen.aliyuncs.com/config/76SHPfje.png,返回newware.com.cn,ok
gh_gilson_gx_271_aspec_spe,Gilson,固相萃取设备,https://www.gilson.com/aspec.html,Gilson GX-271 ASPEC SPE System,Resources ResourcesContact UsLearning HubPipette RegistrationTip Quality CertificatesPIPETMAN Two-Minute Inspection GuidesPopular DownloadsAll Resources; ResourcesContact UsLearning HubPipette RegistrationTip Quality CertificatesPIPETMAN Two-Minute Inspection GuidesPopular DownloadsAll Resources; PIPETMAN Two-Minute Inspection Guides; Pipette TipsFilter TipsNon-Filter TipsPositive Displacement/ CP TipsSyringe TipsEmpty Tip RacksSerological PipettesAll Pipette Tips; Non-Filter Tips; Lab System ConsumablesPIPETMAX Compatible TipsASPEC Cartridges384-Well TipsSyringe FiltersAll Lab System Consumab,https://www.gilson.com/media/images/row.png,"Gilson, Inc. 是一家为生命科学实验室和分析工作流程提供液体处理、纯化和提取解决方案的全球制造商。",ok
gh_gilson_215_liquid_handler,Gilson,注射泵,https://www.gilson.com/liquid-handling/liquid-handlers.html,Gilson 215 Liquid Handler,Resources ResourcesContact UsLearning HubPipette RegistrationTip Quality CertificatesPIPETMAN Two-Minute Inspection GuidesPopular DownloadsAll Resources; ResourcesContact UsLearning HubPipette RegistrationTip Quality CertificatesPIPETMAN Two-Minute Inspection GuidesPopular DownloadsAll Resources; PIPETMAN Two-Minute Inspection Guides; Pipette TipsFilter TipsNon-Filter TipsPositive Displacement/ CP TipsSyringe TipsEmpty Tip RacksSerological PipettesAll Pipette Tips; Non-Filter Tips; Lab System ConsumablesPIPETMAX Compatible TipsASPEC Cartridges384-Well TipsSyringe FiltersAll Lab System Consumab,https://www.gilson.com/media/images/row.png,"Gilson, Inc. 是一家为生命科学实验室和分析工作流程提供液体处理、纯化和提取解决方案的全球制造商。",ok
